device_id	name	stanza	role	service	state	offline
DMX-OPS	DMXRIG	ConsolleDmx	touchdesigner	dmx_a_kick_enable	active	False
DMX-OPS	DMXRIG	ConsolleDmx	touchdesigner	dmx_a_use_file_input	inactive	False
DMX-OPS	DMXRIG	ConsolleDmx	touchdesigner	dmx_a_apply_fixture_profile	unknown	False
DMX-OPS	DMXRIG	ConsolleDmx	touchdesigner	dmx_b_kick_enable	active	False
DMX-OPS	DMXRIG	ConsolleDmx	touchdesigner	dmx_b_use_file_input	inactive	False
DMX-OPS	DMXRIG	ConsolleDmx	touchdesigner	dmx_b_apply_fixture_profile	unknown	False
PatchDeck-DMX	PatchDeck DMX	Test	touchdesigner	dmx_a_kick_enable	inactive	False
PatchDeck-DMX	PatchDeck DMX	Test	touchdesigner	dmx_a_use_file_input	inactive	False
PatchDeck-DMX	PatchDeck DMX	Test	touchdesigner	dmx_a_apply_fixture_profile	unknown	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	deck_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	deck_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x1_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x1_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x2_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x2_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x3_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x3_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x4_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x4_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x5_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x5_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x6_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x6_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x7_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x7_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x8_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x8_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x9_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x9_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x10_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x10_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x11_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x11_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x12_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x12_b	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x13_a	inactive	False
PatchDeck-Mac-Mauro	PatchDeck	Test	touchdesigner	load_x13_b	inactive	False
